company,job_id,title,location,url
Econic Partners,JR1046,Billing Analyst,4 Locations,https://econicpartners.wd501.myworkdayjobs.com/en-US/econicpartnerscareers/details/Billing-Analyst_JR1046
Econic Partners,JR1051,2027 Research Analyst - United States,5 Locations,https://econicpartners.wd501.myworkdayjobs.com/en-US/econicpartnerscareers/details/XMLNAME-2027-Research-Analyst_JR1051
Econic Partners,JR1049,Senior Research Analyst - Brussels,Brussels,https://econicpartners.wd501.myworkdayjobs.com/en-US/econicpartnerscareers/details/Senior-Research-Analyst---Brussels_JR1049
Econic Partners,JR1035,Senior Research Analyst - London,London,https://econicpartners.wd501.myworkdayjobs.com/en-US/econicpartnerscareers/details/Senior-Research-Analyst---London_JR1035
