company,job_id,title,url
Econic Partners,JR1047,Recruitment Coordinator – 9 month FTC,https://econicpartners.wd501.myworkdayjobs.com/en-US/econicpartnerscareers/details/Recruitment-Coordinator---9-month-FTC_JR1047
Econic Partners,JR1046,Billing Analyst,https://econicpartners.wd501.myworkdayjobs.com/en-US/econicpartnerscareers/details/Billing-Analyst_JR1046
Econic Partners,JR1035,Senior Research Analyst - London,https://econicpartners.wd501.myworkdayjobs.com/en-US/econicpartnerscareers/details/Senior-Research-Analyst---London_JR1035
