company,job_id,title,location,url
CRA,6283713,Operations Coordinator (Labor & Employment practice),"Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/6283713
CRA,4643110,Power and Natural Gas Modeling and Markets Lead (Energy practice),"Boston, MA, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/4643110
CRA,3683098,Principal (Antitrust & Competition Economics),"Oakland, CA, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/3683098
CRA,7009096,"Principal/Digital Forensics, Incident Response & Cybersecurity (Forensic Services practice)","Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; Houston, Texas, United States; New York, NY, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7009096
CRA,2278288,Principal (European Competition practice),"London, United Kingdom",https://job-boards.greenhouse.io/charlesriverassociates/jobs/2278288
CRA,2251130,Principal (European Competition practice),"Brussels, Belgium",https://job-boards.greenhouse.io/charlesriverassociates/jobs/2251130
CRA,5360688,Principal (Intellectual Property practice),"Chicago, IL, United States; Houston, Texas, United States; New York, NY, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/5360688
CRA,5592081,Principal (Labor & Employment practice),"College Station, TX, United States; Los Angeles, CA, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/5592081
CRA,2030618,Principal/Litigation Services (Energy practice),"Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/2030618
CRA,5880720,Principal/Transmission Strategy and Planning Expert  (Energy practice),"Boston, MA, United States; Los Angeles, CA, United States; New York, NY, United States; Salt Lake City, UT, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/5880720
CRA,6281772,Principal/Utility Regulation and Finance (Energy practice),"Boston, MA, United States; New York, NY, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/6281772
CRA,7594877,Research Librarian (Temp-to-Perm),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; Houston, Texas, United States; Los Angeles, CA, United States; New York, NY, United States; Oakland, CA, United States; Summit, NJ, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7594877
CRA,3683045,Senior Associate (Antitrust & Competition Economics practice),"Boston, MA, United States; Chicago, IL, United States; Oakland, CA, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/3683045
CRA,6419520,Senior Associate/Cybersecurity & Incident Response (Forensic Services practice),"Toronto, ON, Canada",https://job-boards.greenhouse.io/charlesriverassociates/jobs/6419520
CRA,1056520,Senior Associate/Cybersecurity & Incident Response (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; Houston, Texas, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/1056520
CRA,7012109,"Senior Associate/Digital Forensics, Incident Response & Cybersecurity (Forensic Services practice)","Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; Houston, Texas, United States; New York, NY, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7012109
CRA,2410244,Senior Associate/eDiscovery (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; New York, NY, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/2410244
CRA,4219932,Senior Associate (European Competition practice),"London, UK",https://job-boards.greenhouse.io/charlesriverassociates/jobs/4219932
CRA,1094014,Senior Associate (European Competition practice),"Brussels, Belgium",https://job-boards.greenhouse.io/charlesriverassociates/jobs/1094014
CRA,3564128,Senior Associate (European Competition practice) - m/f/d,"Dusseldorf, Germany; Munich, Germany",https://job-boards.greenhouse.io/charlesriverassociates/jobs/3564128
CRA,251474,Senior Associate (Intellectual Property practice),"Chicago, IL, United States; Houston, Texas, United States; New York, NY, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/251474
CRA,680238,Senior Associate/Litigation Services (Energy),"Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/680238
CRA,3846048,Senior Associate/Policy (Life Sciences practice),"Cambridge, Cambridgeshire, England, United Kingdom; London, United Kingdom",https://job-boards.greenhouse.io/charlesriverassociates/jobs/3846048
CRA,7571526,Senior Associate/Pricing & Market Access (Life Sciences practice),"Boston, MA, United States; Chicago, IL, United States; New York, NY, United States; Summit, NJ, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7571526
CRA,7001310,Senior Associate/Privacy Specialist (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; New York, NY, United States; Oakland, CA, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7001310
CRA,7567338,Senior Associate/Programmatic AdTech Engineer (Forensic Services practice),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; New York, NY, United States; Oakland, CA, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7567338
CRA,5880738,Senior Associate/Transmission Strategy and Planning (Energy practice),"Boston, MA, United States; New York, NY, United States; Salt Lake City, UT, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/5880738
CRA,5880880,Senior Associate/Utility Regulation and Finance (Energy practice),"Boston, MA, United States; New York, NY, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/5880880
CRA,263972,Senior Benefits Coordinator,"Boston, MA, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/263972
CRA,7917215,Senior Recruiter/Lateral Hiring Team (6-month contract),"Chicago, IL, United States; New York, NY, United States; Oakland, CA, United States; Washington, DC, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7917215
CRA,7899272,Site Reliability Engineer - Disaster Recovery & Business Continuity,"Boston, MA, United States; Chicago, IL, United States",https://job-boards.greenhouse.io/charlesriverassociates/jobs/7899272
Analysis Group,2436,Analyst - Generalist (2026 Start Date),,https://analystcareers-analysisgroup.icims.com/jobs/2436/analyst---generalist-%282026-start-date%29/job
Analysis Group,2776,"Summer Research Professional Intern - Health Care (HEOR, Epidemiology & Market Access) - Montreal (2026 Start Date) | Stage d’été - Professionnel de recherche - Économie de la santé, biostatistique, et épidémiologie - Montréal (Date de début 2026)",,https://analystcareers-analysisgroup.icims.com/jobs/2776/summer-research-professional-intern---health-care-%28heor%2c-epidemiology-%26-market-access%29---montreal-%282026-start-date%29-%7c-stage-d%e2%80%99%c3%a9t%c3%a9---professionnel-de-recherche---%c3%89conomie-de-la-sant%c3%a9%2c-biostatistique%2c-et-%c3%a9pid%c3%a9miologie---montr%c3%a9al-%28date-de-d%c3%a9but-2026%29/job
Analysis Group,2833,Economic Modeling Specialist - Beijing (2026 Start Date),,https://analystcareers-analysisgroup.icims.com/jobs/2833/economic-modeling-specialist---beijing-%282026-start-date%29/job
Coherent Economics,4237443009,IT Operations Manager,"Chicago, IL ",https://job-boards.greenhouse.io/coherenteconomicsllc/jobs/4237443009
